Date,Weekday,Exercise,Exercise Day,Weight,Unit,Weight in other unit,Other unit,Reps,Sets,Primary Muscles,Secondary Muscles,Additional Muscles
"July 8, 2024",Mánudagur,Tricep Pushdowns,Chest/Shoulders/Triceps,80,lbs,36,kg,12,3,Triceps,,
"July 8, 2024",Mánudagur,Lateral Raises Dumbbell,Chest/Shoulders/Triceps,50,lbs,23,kg,12,1,Deltoids,,
"July 8, 2024",Mánudagur,Lateral Raises Dumbbell,Chest/Shoulders/Triceps,40,lbs,18,kg,12,3,Deltoids,,
"July 8, 2024",Mánudagur,Cable Arm Extension,Chest/Shoulders/Triceps,30,lbs,14,kg,12,1,Triceps,,
"July 8, 2024",Mánudagur,Cable Arm Extension,Chest/Shoulders/Triceps,35,lbs,16,kg,12,2,Triceps,,
"July 8, 2024",Mánudagur,Pectoral Fly Machine,Chest/Shoulders/Triceps,70,lbs,32,kg,12,2,Pectorals,,
"July 8, 2024",Mánudagur,Pectoral Fly Machine,Chest/Shoulders/Triceps,60,lbs,27,kg,12,1,Pectorals,,
"July 10, 2024",Miðvikudagur,Squat,Legs,45,lbs,20,kg,12,1,Quadriceps,Glutes,"Hamstrings, Lower Back"
"July 10, 2024",Miðvikudagur,Squat,Legs,95,lbs,43,kg,12,1,Quadriceps,Glutes,"Hamstrings, Lower Back"
"July 10, 2024",Miðvikudagur,Squat,Legs,95,lbs,43,kg,10,2,Quadriceps,Glutes,"Hamstrings, Lower Back"
"July 10, 2024",Miðvikudagur,Squat,Legs,45,lbs,20,kg,12,1,Quadriceps,Glutes,"Hamstrings, Lower Back"
"July 10, 2024",Miðvikudagur,Deadlift,Legs,95,lbs,43,kg,12,3,Glutes,Hamstrings,"Lower Back, Quadriceps"
"July 10, 2024",Miðvikudagur,Leg Extension Machine,Legs,60,lbs,27,kg,15,1,Quadriceps,,
"July 10, 2024",Miðvikudagur,Leg Extension Machine,Legs,80,lbs,36,kg,12,3,Quadriceps,,
"July 10, 2024",Miðvikudagur,Leg Curl Machine,Legs,80,lbs,36,kg,12,4,Hamstrings,Calves,
"July 10, 2024",Miðvikudagur,Hip Abduction Machine,Legs,90,lbs,41,kg,12,3,Gluteus Medius,Gluteus Minimus,
"July 10, 2024",Miðvikudagur,Hip Adduction Machine,Legs,90,lbs,41,kg,12,3,Adductors,,
"July 10, 2024",Miðvikudagur,Left Calf Raises,Legs,0,lbs,0,kg,20,3,Gastrocnemius,Soleus,
"July 10, 2024",Miðvikudagur,Right Calf Raises,Legs,0,lbs,0,kg,20,3,Gastrocnemius,Soleus,
"July 12, 2024",Föstudagur,Lat Pulldown Cable,Back/Biceps,43,lbs,19,kg,12,3,Latissimus Dorsi,Biceps,Rear Deltoids
"July 12, 2024",Föstudagur,Lat Pulldown Cable,Back/Biceps,50,lbs,23,kg,8,1,Latissimus Dorsi,Biceps,Rear Deltoids
"July 12, 2024",Föstudagur,Dumbbell Row Right Arm,Back/Biceps,25,lbs,11,kg,12,1,Middle Back,Biceps,Lats
"July 12, 2024",Föstudagur,Dumbbell Row Right Arm,Back/Biceps,28,lbs,12,kg,15,1,Middle Back,Biceps,Lats
"July 12, 2024",Föstudagur,Dumbbell Row Right Arm,Back/Biceps,28,lbs,12,kg,12,1,Middle Back,Biceps,Lats
"July 12, 2024",Föstudagur,Dumbbell Row Right Arm,Back/Biceps,25,lbs,11,kg,12,1,Middle Back,Biceps,Lats
"July 12, 2024",Föstudagur,Dumbbell Row Left Arm,Back/Biceps,25,lbs,11,kg,12,1,Middle Back,Biceps,Lats
"July 12, 2024",Föstudagur,Dumbbell Row Left Arm,Back/Biceps,28,lbs,12,kg,15,1,Middle Back,Biceps,Lats
"July 12, 2024",Föstudagur,Dumbbell Row Left Arm,Back/Biceps,28,lbs,12,kg,12,1,Middle Back,Biceps,Lats
"July 12, 2024",Föstudagur,Dumbbell Row Left Arm,Back/Biceps,25,lbs,11,kg,12,1,Middle Back,Biceps,Lats
"July 12, 2024",Föstudagur,Bicep Curls (Curved Barbells),Back/Biceps,40,lbs,18,kg,15,3,Biceps,Forearms,
"July 12, 2024",Föstudagur,Bicep Curls (Curved Barbells),Back/Biceps,50,lbs,23,kg,12,1,Biceps,Forearms,
"July 12, 2024",Föstudagur,Face Pulls (Cables),Back/Biceps,30,lbs,14,kg,12,4,Rear Deltoids,Trapezius,Rhomboids
"July 12, 2024",Föstudagur,Right Arm Hammer Curls Cables,Back/Biceps,15,lbs,7,kg,12,1,Biceps,Forearms,Brachialis
"July 12, 2024",Föstudagur,Right Arm Hammer Curls Cables,Back/Biceps,10,lbs,5,kg,15,2,Biceps,Forearms,Brachialis
"July 12, 2024",Föstudagur,Left Arm Hammer Curls Cables,Back/Biceps,15,lbs,7,kg,12,1,Biceps,Forearms,Brachialis
"July 12, 2024",Föstudagur,Left Arm Hammer Curls Cables,Back/Biceps,10,lbs,5,kg,15,2,Biceps,Forearms,Brachialis
"July 12, 2024",Föstudagur,Seated Cable Rows (Single Pulley Row),Back/Biceps,70,lbs,32,kg,12,1,Middle Back,Lats,Biceps
"July 12, 2024",Föstudagur,Seated Cable Rows (Single Pulley Row),Back/Biceps,85,lbs,39,kg,12,3,Middle Back,Lats,Biceps
"July 12, 2024",Föstudagur,Rear Delt Flyes Machine,Back/Biceps,60,lbs,27,kg,12,3,Rear Deltoids,Trapezius,
